Matching.Attribute;biogrid;Ensembl;Ensembl by Entrez/NCBI combined;Label;Human Readable Label;entrez gene/locuslink;ncbi_gene_id;cl1.Status
ENSG00000107643;111585;ENSG00000107643;ENSG00000107643;MAPK8;SAPK1c;SAPK1c|MAPK8|JNK21B1/2|JNK|5599|JNK1|SAPK1|PRKM8|JNK-46|JNK1A2;5599;Outlier
ENSG00000112679;121264;ENSG00000112679;ENSG00000112679;DUSP22;DUSP22;56940|DUSP22|RP11-328C17.1|LMW-DSP2|JKAP|JSP-1|MKPX|VHX|JSP1|MKP-x|LMWDSP2;56940;"Outlier;Overlap"
ENSG00000119383;111516;ENSG00000119383;ENSG00000119383;PTPA;PTPA;PTPA|PPP2R4|PR53|5524|PP2A|RP11-247A12.4;5524;"Outlier;Overlap"
ENSG00000149554;107536;ENSG00000149554;ENSG00000149554;CHEK1;CHK1;CHK1|1111|CHEK1;1111;Outlier
ENSG00000154640;116150;ENSG00000154640;ENSG00000154640;BTG3;BTG3;BTG3|TOFA|TOB55|ANA|TOB5|10950;10950;Outlier
ENSG00000125170;120837;ENSG00000125170;ENSG00000125170;DOK4;DOK4;DOK4|55715;55715;"Cluster;Outlier"
ENSG00000078747;123747;ENSG00000078747;ENSG00000078747;ITCH;dJ468O1.1;dJ468O1.1|ITCH|AIP4|NAPP1|AIF4|ADMFD|83737;83737;"Cluster;Outlier"
ENSG00000082458;108085;ENSG00000082458;ENSG00000082458;DLG3;XLMR;XLMR|MRX|NEDLG|1741|DLG3|RP11-291O7.3|MRX90|SAP102|PPP1R82;1741;Outlier
ENSG00000186153;119707;ENSG00000186153;ENSG00000186153;WWOX;WWOX;WWOX|SCAR12|SDR41C1|FOR|51741|HHCMA56|WOX1|PRO0128|D16S432E|FRA16D;51741;"Cluster;Outlier"
ENSG00000069869;110811;ENSG00000069869;ENSG00000069869;NEDD4;NEDD4-1;NEDD4-1|PIG53|NEDD4|4734|RPF1;4734;"Cluster;Outlier"
ENSG00000181852;115488;ENSG00000181852;ENSG00000181852;RNF41;NRDP1;NRDP1|10193|SBBI03|FLRF|RNF41;10193;Outlier
ENSG00000196363;116272;ENSG00000196363;ENSG00000196363;WDR5;BIG-3;11091|BIG-3|SWD3|WDR5|CFAP89;11091;Outlier
ENSG00000118058;110443;ENSG00000118058;ENSG00000118058;KMT2A;MLL1;MLL1|hCG_1732268|HTRX1|TET1-MLL|4297|KMT2A|MLL|CXXC7|HRX|WDSTS|TRX1|ALL-1|MLL/GAS7|MLL1A;4297;"Cluster;Outlier"
ENSG00000164985;116339;ENSG00000164985;ENSG00000164985;PSIP1;DFS70;DFS70|LEDGF|PSIP2|PSIP1|11168|p52|PAIP|p75;11168;Outlier
ENSG00000136997;110694;ENSG00000136997;ENSG00000136997;MYC;c-Myc;4609|c-Myc|MYC|MYCC|MRTL|bHLHe39;4609;Outlier
ENSG00000129691;114528;ENSG00000129691;ENSG00000129691;ASH2L;ASH2;ASH2|Bre2|9070|ASH2L|ASH2L2|ASH2L1;9070;"Cluster;Outlier"
ENSG00000127329;111751;ENSG00000127329;ENSG00000127329;PTPRB;VEPTP;VEPTP|PTPRB|HPTPB|PTPB|R-PTP-BETA|5787|HPTP-BETA;5787;"Cluster;Outlier"
ENSG00000184937;113327;ENSG00000184937;ENSG00000184937;WT1;EWS-WT1;EWS-WT1|WT1|WT33|GUD|NPHS4|WIT-2|7490|AWT1|WAGR;7490;Outlier
ENSG00000096070;118036;ENSG00000096070;ENSG00000096070;BRPF3;RP3-524E15.1;RP3-524E15.1|27154|BRPF3;27154;"Cluster;Outlier"
ENSG00000163875;122280;ENSG00000163875;ENSG00000163875;MEAF6;MEAF6;MEAF6|RP3-423B22.2|NY-SAR-91|EAF6|64769|C1orf149|CENP-28;64769;"Cluster;Outlier"
ENSG00000156983;113614;ENSG00000156983;ENSG00000156983;BRPF1;BRPF1;BRPF1|7862|BR140;7862;"Cluster;Outlier"
ENSG00000113575;111507;ENSG00000113575;ENSG00000113575;PPP2CA;PPP2CA;PPP2CA|RP-C|PP2Ac|PP2Calpha|5515|PP2CA;5515;Cluster
ENSG00000118689;108598;ENSG00000118689;ENSG00000118689;FOXO3;AF6q21;AF6q21|FKHRL1|FOXO3A|FOXO3|2309|FOXO2|FKHRL1P2;2309;"Cluster;Outlier"
ENSG00000112715;113265;ENSG00000112715;ENSG00000112715;VEGFA;MVCD1;MVCD1|7422|RP1-261G23.1|VEGF|VPF|VEGFA;7422;Cluster
ENSG00000102010;107128;ENSG00000102010;ENSG00000102010;BMX;PSCTK3;660|PSCTK3|BMX|ETK|PSCTK2;660;"Cluster;Outlier"
ENSG00000167548;113758;ENSG00000167548;ENSG00000167548;KMT2D;KMS;KMS|KMT2D|AAD10|KABUK1|MLL2|TNRC21|MLL4|ALR|CAGL114|8085;8085;"Cluster;Outlier"
ENSG00000102871;114257;ENSG00000102871;ENSG00000102871;TRADD;Hs.89862;Hs.89862|TRADD|8717;8717;"Cluster;Outlier"
ENSG00000170689;109459;ENSG00000170689;ENSG00000170689;HOXB9;HOX2;3219|HOX2|HOX-2.5|HOXB9|HOX2E;3219;"Cluster;Outlier"
ENSG00000144554;108474;ENSG00000144554;ENSG00000144554;FANCD2;FANCD2;FANCD2|2177|FA-D2|FA4|FAD|FAD2|FACD|FANCD;2177;Outlier
ENSG00000156650;117069;ENSG00000156650;ENSG00000156650;KAT6B;MYST4;MYST4|MORF|KAT6B|ZC2HC6B|querkopf|23522|GTPTS|qkf|MOZ2;23522;"Cluster;Outlier"
ENSG00000159388;113593;ENSG00000159388;ENSG00000159388;BTG2;PC3;PC3|BTG2|7832|TIS21;7832;"Cluster;Outlier"
ENSG00000146072;118090;ENSG00000146072;ENSG00000146072;TNFRSF21;UNQ437/PRO868;UNQ437/PRO868|27242|BM-018|DR6|CD358|TNFRSF21;27242;"Cluster;Outlier"
ENSG00000142192;106848;ENSG00000142192;ENSG00000142192;APP;APP;APP|AAA|ABETA|CTFgamma|PN-II|PN2|APPI|CVAP|AD1|351|ABPP;351;"Cluster;Outlier"
ENSG00000137693;115684;ENSG00000137693;ENSG00000137693;YAP1;YAP1;YAP1|YAP2|YAP65|COB1|YKI|YAP|10413;10413;"Cluster;Outlier"
ENSG00000102755;108609;ENSG00000102755;ENSG00000102755;FLT1;FLT1;FLT1|VEGFR1|2321|VEGFR-1|FLT-1|FLT;2321;"Cluster;Overlap"
ENSG00000147443;114508;ENSG00000147443;ENSG00000147443;DOK2;DOK2;DOK2|9046|p56DOK|p56dok-2;9046;"Cluster;Outlier"
ENSG00000161203;107587;ENSG00000161203;ENSG00000161203;AP2M1;AP50;AP50|1173|mu2|AP2M1|CLAPM1;1173;"Cluster;Outlier"
ENSG00000166501;111565;ENSG00000166501;ENSG00000166501;PRKCB;PRKCB2;PRKCB2|PRKCB1|PRKCB|5579|PKC-beta|PKCB;5579;"Cluster;Outlier"
ENSG00000102606;114393;ENSG00000102606;ENSG00000102606;ARHGEF7;PIXB;PIXB|8874|P50|P85|RP11-494P5.1|Nbla10314|P50BP|P85COOL1|P85SPR|ARHGEF7|PAK3|COOL1|BETA-PIX|COOL-1;8874;"Cluster;Outlier"
ENSG00000101336;109305;ENSG00000101336;ENSG00000101336;HCK;HCK;HCK|RP5-836N17.3|p59Hck|3055|JTK9|p61Hck;3055;"Cluster;Outlier"
ENSG00000154127;124390;ENSG00000154127;ENSG00000154127;UBASH3B;TULA-2;TULA-2|UBASH3B|STS1|p70|TULA2|84959|STS-1;84959;"Cluster;Outlier"
ENSG00000151491;108373;ENSG00000151491;ENSG00000151491;EPS8;EPS8;EPS8|2059|DFNB102;2059;"Cluster;Outlier"
ENSG00000254087;110245;ENSG00000254087;ENSG00000254087;LYN;LYN;LYN|p53Lyn|p56Lyn|4067|JTK8;4067;Outlier
ENSG00000253729;111577;ENSG00000253729;ENSG00000253729;PRKDC;DNAPK;5591|DNAPK|HYRC|DNA-PKcs|XRCC7|PRKDC|IMD26|p350|DNPK1|HYRC1;5591;"Cluster;Outlier"
ENSG00000176105;113357;ENSG00000176105;ENSG00000176105;YES1;HsT441;HsT441|YES1|c-yes|P61-YES|Yes|7525;7525;"Cluster;Outlier"
ENSG00000129515;121852;ENSG00000129515;ENSG00000129515;SNX6;MSTP010;58533|MSTP010|TFAF2|SNX6;58533;"Cluster;Outlier"
ENSG00000085832;108374;ENSG00000085832;ENSG00000085832;EPS15;AF-1P;AF-1P|AF1P|EPS15|MLLT5|2060;2060;"Cluster;Outlier"
ENSG00000198712;110616;ENSG00000198712;ENSG00000198712;MT-CO2;COII;COII|COX2|4513|MTCO2;4513;"Cluster;Outlier"
ENSG00000168374;106873;ENSG00000168374;ENSG00000168374;ARF4;ARF4;ARF4|ARF2|378;378;"Cluster;Outlier"
ENSG00000099942;107789;ENSG00000099942;ENSG00000099942;CRKL;CRKL;1399|CRKL;1399;"Cluster;Outlier"
ENSG00000165527;106877;ENSG00000165527;ENSG00000165527;ARF6;ARF6;382|ARF6;382;"Cluster;Outlier"
ENSG00000044115;107876;ENSG00000044115;ENSG00000044115;CTNNA1;CTNNA1;1495|CTNNA1|CAP102;1495;"Cluster;Outlier"
ENSG00000096384;109558;ENSG00000096384;ENSG00000096384;HSP90AB1;D6S182;D6S182|3326|HSP90AB1|RP1-302G2.1|HSP90B|HSPC2|HSPCB|HSP84;3326;"Cluster;Outlier"
ENSG00000147010;119029;ENSG00000147010;ENSG00000147010;SH3KBP1;SH3KBP1;SH3KBP1|30011|HSB-1|RP11-345L8.1|CIN85|HSB1|MIG18|CD2BP3|GIG10;30011;"Cluster;Outlier"
ENSG00000160293;113253;ENSG00000160293;ENSG00000160293;VAV2;VAV-2;7410|VAV-2|VAV2;7410;"Cluster;Outlier"
ENSG00000162434;109919;ENSG00000162434;ENSG00000162434;JAK1;JTK3;JTK3|3716|JAK1B|JAK1A|JAK1;3716;"Cluster;Outlier"
ENSG00000000938;108559;ENSG00000000938;ENSG00000000938;FGR;FGR;FGR|p55c-fgr|p58-Fgr|p58c-fgr|2268|c-src2|SRC2|RP1-159A19.2|c-fgr|p55-Fgr;2268;"Cluster;Outlier"
ENSG00000061938;115485;ENSG00000061938;ENSG00000061938;TNK2;TNK2;TNK2|ACK1|ACK|10188|p21cdc42Hs|ACK-1;10188;"Cluster;Outlier"
ENSG00000105568;111510;ENSG00000105568;ENSG00000105568;PPP2R1A;PP2AAALPHA;PP2AAALPHA|PPP2R1A|PP2A-Aalpha|PR65A|5518;5518;Outlier
ENSG00000063245;118965;ENSG00000063245;ENSG00000063245;EPN1;EPN1;EPN1|29924;29924;"Cluster;Outlier"
ENSG00000105976;110391;ENSG00000105976;ENSG00000105976;MET;RCCP2;4233|RCCP2|HGFR|c-Met|MET|AUTS9;4233;"Cluster;Outlier"
ENSG00000170345;108636;ENSG00000170345;ENSG00000170345;FOS;p55;p55|C-FOS|2353|FOS|AP-1;2353;"Cluster;Outlier"
ENSG00000169047;109874;ENSG00000169047;ENSG00000169047;IRS1;IRS1;IRS1|3667|HIRS-1;3667;"Cluster;Outlier"
ENSG00000198793;108757;ENSG00000198793;ENSG00000198793;MTOR;FRAP1;FRAP1|RAFT1|2475|FRAP2|FRAP|RAPT1|MTOR;2475;"Cluster;Outlier"
ENSG00000196961;106669;ENSG00000196961;ENSG00000196961;AP2A1;AP2-ALPHA;AP2-ALPHA|ADTAA|AP2A1|CLAPA1|160;160;"Cluster;Outlier"
ENSG00000173757;112654;ENSG00000173757;ENSG00000173757;STAT5B;STAT5B;STAT5B|6777|STAT5;6777;"Cluster;Outlier"
ENSG00000120899;108480;ENSG00000120899;ENSG00000120899;PTK2B;FAK2;FAK2|CADTK|PYK2|PKB|PTK|PTK2B|FADK2|CAKB|2185|RAFTK;2185;"Cluster;Outlier"
ENSG00000137752;107284;ENSG00000137752;ENSG00000137752;CASP1;P45;P45|IL1BC|CASP1|834|ICE;834;"Cluster;Outlier"
ENSG00000170248;115332;ENSG00000170248;ENSG00000170248;PDCD6IP;PDCD6IP;PDCD6IP|ALIX|HP95|AIP1|DRIP4|10015;10015;"Cluster;Outlier"
ENSG00000106070;109144;ENSG00000106070;ENSG00000106070;GRB10;RSS;2887|RSS|GRB-IR|IRBP|MEG1|GRB10|Grb-10;2887;"Cluster;Outlier"
ENSG00000092820;113271;ENSG00000092820;ENSG00000092820;EZR;VIL2;VIL2|7430|HEL-S-105|CVL|CVIL|EZR;7430;"Cluster;Outlier"
ENSG00000133056;111305;ENSG00000133056;ENSG00000133056;PIK3C2B;RP11-739N20.5;5287|RP11-739N20.5|C2-PI3K|PIK3C2B;5287;"Cluster;Outlier"
ENSG00000158092;110770;ENSG00000158092;ENSG00000158092;NCK1;nck-1;4690|nck-1|NCK|NCKalpha|NCK1;4690;"Cluster;Outlier"
ENSG00000118523;107872;ENSG00000118523;ENSG00000118523;CTGF;IGFBP8;IGFBP8|NOV2|CCN2|HCS24|1490|CTGF;1490;"Cluster;Outlier"
ENSG00000198561;107881;ENSG00000198561;ENSG00000198561;CTNND1;P120CAS;P120CAS|1500|CAS|CTNND|CTNND1|P120CTN|p120;1500;"Cluster;Outlier"
ENSG00000142798;109571;ENSG00000142798;ENSG00000142798;HSPG2;RP11-132G19.2;3339|RP11-132G19.2|HSPG|PRCAN|SJS1|PLC|SJA|HSPG2|SJS;3339;Outlier
ENSG00000154229;111564;ENSG00000154229;ENSG00000154229;PRKCA;AAG6;AAG6|5578|PKC-alpha|PRKCA|PKCA|PRKACA;5578;Outlier
ENSG00000171150;115013;ENSG00000171150;ENSG00000171150;SOCS5;CIS6;CIS6|9655|CISH6|Cish5|SOCS5|SOCS-5;9655;"Cluster;Outlier"
ENSG00000182533;107307;ENSG00000182533;ENSG00000182533;CAV3;VIP21;VIP21|CAV3|VIP-21|LGMD1C|LQT9|859;859;"Cluster;Outlier"
ENSG00000221914;111512;ENSG00000221914;ENSG00000221914;PPP2R2A;B55A;B55A|PR55A|5520|PPP2R2A|B55ALPHA|PR52A;5520;"Cluster;Outlier"
ENSG00000185359;114593;ENSG00000185359;ENSG00000185359;HGS;HGS;9146|HGS|HRS;9146;"Cluster;Outlier"
ENSG00000111679;111742;ENSG00000111679;ENSG00000111679;PTPN6;SHP-1L;SHP-1L|SHP1|HCPH|HCP|5777|PTPN6|PTP-1C|SH-PTP1|SHP-1|HPTP1C;5777;Outlier
ENSG00000116285;119923;ENSG00000116285;ENSG00000116285;ERRFI1;ERRFI1;ERRFI1|RALT|CTA-215D11.2|54206|MIG-6|GENE-33|MIG6;54206;"Cluster;Outlier"
ENSG00000028528;112525;ENSG00000028528;ENSG00000028528;SNX1;SNX1;SNX1|HsT17379|VPS5|6642;6642;"Cluster;Outlier"
ENSG00000138592;114555;ENSG00000138592;ENSG00000138592;USP8;USP8;USP8|UBPY|9101|HumORF8|SPG59;9101;"Cluster;Outlier"
ENSG00000159733;121752;ENSG00000159733;ENSG00000159733;ZFYVE28;ZFYVE28;57732|ZFYVE28|LST2|LYST2;57732;"Cluster;Outlier"
ENSG00000149177;111759;ENSG00000149177;ENSG00000149177;PTPRJ;R-PTP-ETA;R-PTP-ETA|5795|HPTPeta|SCC1|PTPRJ|CD148|DEP1;5795;"Cluster;Outlier"
ENSG00000174791;114972;ENSG00000174791;ENSG00000174791;RIN1;RIN1;9610|RIN1;9610;"Cluster;Outlier"
ENSG00000051382;111309;ENSG00000051382;ENSG00000051382;PIK3CB;P110BETA;P110BETA|PI3K|PIK3C1|PIK3CB|5291|PI3KBETA;5291;"Cluster;Outlier"
ENSG00000183020;106670;ENSG00000183020;ENSG00000183020;AP2A2;HIP-9;HIP-9|ADTAB|HYPJ|CLAPA2|HIP9|161|AP2A2;161;"Cluster;Outlier"
ENSG00000167193;107788;ENSG00000167193;ENSG00000167193;CRK;p38;p38|1398|CRKII|CRK;1398;"Cluster;Outlier"
ENSG00000126561;112653;ENSG00000126561;ENSG00000126561;STAT5A;STAT5A;STAT5A|6776|STAT5|MGF;6776;"Cluster;Outlier"
ENSG00000107295;112353;ENSG00000107295;ENSG00000107295;SH3GL2;EEN-B1;EEN-B1|SH3P4|SH3D2A|6456|CNSA2|SH3GL2;6456;"Cluster;Outlier"
ENSG00000196689;113281;ENSG00000196689;ENSG00000196689;TRPV1;VR1;7442|VR1|TRPV1;7442;"Cluster;Outlier"
ENSG00000164045;107428;ENSG00000164045;ENSG00000164045;CDC25A;CDC25A2;993|CDC25A2|CDC25A;993;Outlier
ENSG00000143333;111936;ENSG00000143333;ENSG00000143333;RGS16;RGS16;RGS16|RGS-R|6004|A28-RGS14|A28-RGS14P;6004;"Cluster;Outlier"
ENSG00000152492;127431;ENSG00000152492;ENSG00000152492;CCDC50;C3orf6;C3orf6|152137|YMER|DFNA44|CCDC50;152137;"Cluster;Outlier"
ENSG00000145715;111856;ENSG00000145715;ENSG00000145715;RASA1;CM-AVM;CM-AVM|PKWS|RASA1|GAP|p120GAP|p120RASGAP|CMAVM|RASGAP|5921|RASA;5921;Outlier
ENSG00000143933;107256;ENSG00000143933;ENSG00000143933;CALM2;CAMII;CAMII|PHKD|PHKD2|805|CALM2;805;Outlier
ENSG00000142273;117156;ENSG00000142273;ENSG00000142273;CBLC;CBL-SL;CBL-SL|RNF57|CBLC|CBL-3|23624;23624;"Cluster;Outlier"
ENSG00000166598;113036;ENSG00000166598;ENSG00000166598;HSP90B1;HEL35;HEL35|ECGP|GP96|TRA1|GRP94|7184|HSP90B1|HEL-S-125m;7184;"Cluster;Outlier"
ENSG00000169398;111719;ENSG00000169398;ENSG00000169398;PTK2;FAK;FAK|FAK1|FADK|FRNK|pp125FAK|5747|p125FAK|PTK2|PPP1R71;5747;"Cluster;Outlier"
ENSG00000152894;111760;ENSG00000152894;ENSG00000152894;PTPRK;R-PTP-kappa;R-PTP-kappa|5796|RP3-480J14.1|PTPRK;5796;"Cluster;Outlier"
ENSG00000157168;109332;ENSG00000157168;ENSG00000157168;NRG1;NRG1-IT2;NRG1-IT2|HRGA|GGF|NRG1|MSTP131|HGL|GGF2|3084|NDF|HRG1|ARIA|SMDF|HRG|MST131;3084;Outlier
ENSG00000186575;110844;ENSG00000186575;ENSG00000186575;NF2;BANF;4771|BANF|SCH|NF2|ACN;4771;"Cluster;Outlier"
ENSG00000179295;111745;ENSG00000179295;ENSG00000179295;PTPN11;CFC;CFC|SHP2|5781|PTP2C|PTPN11|PTP-1D|NS1|BPTP3|SH-PTP3|SH-PTP2;5781;"Outlier;Overlap"
ENSG00000158458;114917;ENSG00000158458;ENSG00000158458;NRG2;HRG2;9542|HRG2|NTAK|NRG2|DON1;9542;"Cluster;Outlier"
ENSG00000105974;107305;ENSG00000105974;ENSG00000105974;CAV1;BSCL3;BSCL3|VIP21|CGL3|CAV1|857|MSTP085|PPH3|LCCNS;857;"Cluster;Outlier"
ENSG00000170606;109540;ENSG00000170606;ENSG00000170606;HSPA4;hsp70;hsp70|HSPH2|APG-2|HS24/P52|HSPA4|HEL-S-5a|RY|hsp70RY|3308;3308;Outlier
ENSG00000185634;134386;ENSG00000185634;ENSG00000185634;SHC4;SHC4;SHC4|SHCD|RaLP|UNQ6438/PRO21364|399694;399694;"Cluster;Outlier"
ENSG00000100351;114799;ENSG00000100351;ENSG00000100351;GRAP2;GrbX;GrbX|GRPL|9402|GRID|GADS|Grf40|RP3-370M22.1|Mona|P38|GRAP-2|GRAP2|GRBLG|GRB2L;9402;"Cluster;Outlier"
ENSG00000115415;112649;ENSG00000115415;ENSG00000115415;STAT1;STAT1;6772|STAT1|CANDF7|IMD31B|IMD31C|ISGF-3|STAT91|IMD31A;6772;"Cluster;Outlier"
ENSG00000196396;111736;ENSG00000196396;ENSG00000196396;PTPN1;PTPN1;PTPN1|5770|PTP1B;5770;"Cluster;Outlier"
ENSG00000144749;117489;ENSG00000105486;ENSG00000144749;LRIG1;LIG1;LIG1|LRIG1|26018|LIG-1;26018;Outlier
ENSG00000026508;107398;ENSG00000026508;ENSG00000026508;CD44;HUTCH-I;HUTCH-I|IN|CDW44|CSPG8|MIC4|ECMR-III|MDU2|MDU3|960|MC56|AL133330.1|LHR|HCELL|Pgp1|CD44;960;Outlier
ENSG00000166266;113743;ENSG00000166266;ENSG00000166266;CUL5;CUL5;CUL5|VACM1|8065|VACM-1;8065;Outlier
ENSG00000148082;119752;ENSG00000148082;ENSG00000148082;SHC3;SHC3;SHC3|SHCC|NSHC|53358|RAI|RP11-82L18.3|N-Shc;53358;"Cluster;Outlier"
ENSG00000169032;111590;ENSG00000169032;ENSG00000169032;MAP2K1;MKK1;MKK1|PRKMK1|MAP2K1|MEK1|MAPKK1|CFC3|5604;5604;"Cluster;Outlier"
ENSG00000080824;109552;ENSG00000080824;ENSG00000080824;HSP90AA1;HSP90N;HSP90N|HSPCAL1|HSP90AA1|HSPCAL4|EL52|HSP89A|HSPN|3320|Hsp89|LAP-2|HSPC1|Hsp90|LAP2|HSP90A|HSP86|HSPCA;3320;"Cluster;Outlier"
ENSG00000115904;112537;ENSG00000115904;ENSG00000115904;SOS1;GINGF;GINGF|GF1|6654|HGF|GGF1|SOS1|NS4;6654;"Cluster;Outlier"
ENSG00000197943;111352;ENSG00000197943;ENSG00000197943;PLCG2;PLC-IV;PLC-IV|RP11-510J16.3|PLCG2|PLC-gamma-2|5336|APLAID|FCAS3;5336;"Cluster;Outlier"
ENSG00000160691;112361;ENSG00000160691;ENSG00000160691;SHC1;SHC1;6464|SHC1|SHCA|RP11-307C12.1|SHC;6464;"Cluster;Outlier"
ENSG00000173801;109931;ENSG00000173801;ENSG00000173801;JUP;CTNNG;CTNNG|3728|PKGB|JUP|ARVD12|DP3|PDGB|DPIII;3728;"Cluster;Outlier"
ENSG00000141510;113010;ENSG00000141510;ENSG00000141510;TP53;TRP53;7157|TRP53|BCC7|LFS1|TP53|P53;7157;"Outlier;Overlap"
ENSG00000140575;114353;ENSG00000140575;ENSG00000140575;IQGAP1;HUMORFA01;HUMORFA01|IQGAP1|SAR1|8826|p195;8826;"Cluster;Outlier"
ENSG00000065361;108377;ENSG00000065361;ENSG00000065361;ERBB3;ErbB-3;ErbB-3|p180-ErbB3|LCCS2|c-erbB-3|2065|c-erbB3|MDA-BF-1|erbB3-S|p45-sErbB3|ERBB3|p85-sErbB3|HER3;2065;"Cluster;Outlier"
ENSG00000113328;107340;ENSG00000113328;ENSG00000113328;CCNG1;CCNG;CCNG|CCNG1|900;900;"Cluster;Overlap"
ENSG00000138764;107341;ENSG00000138764;ENSG00000138764;CCNG2;CCNG2;CCNG2|901;901;"Cluster;Outlier"
ENSG00000163235;112897;ENSG00000163235;ENSG00000163235;TGFA;TGFA;7039|TGFA|TFGA;7039;Cluster
ENSG00000083168;113703;ENSG00000083168;ENSG00000083168;KAT6A;MYST3;MYST3|ZNF220|7994|KAT6A|RUNXBP2|ZC2HC6A|MOZ;7994;"Cluster;Outlier"
ENSG00000123124;116243;ENSG00000123124;ENSG00000123124;WWP1;AIP5;AIP5|hSDRP1|Tiul1|WWP1|11059;11059;"Cluster;Outlier"
ENSG00000119630;111249;ENSG00000119630;ENSG00000119630;PGF;SHGC-10760;SHGC-10760|PlGF-2|PGFL|D12S1900|5228|PGF|PLGF;5228;Cluster
ENSG00000173511;113266;ENSG00000173511;ENSG00000173511;VEGFB;VEGFL;VEGFL|7423|VEGFB|VRF;7423;"Cluster;Overlap"
ENSG00000099250;114356;ENSG00000099250;ENSG00000099250;NRP1;NRP1;NRP1|BDCA4|CD304|RP11-342D11.1|VEGF165R|8829|NRP|NP1;8829;Cluster
ENSG00000138798;108270;ENSG00000138798;ENSG00000138798;EGF;EGF;1950|EGF|HOMG4|URG;1950;"Cluster;Outlier"
ENSG00000041982;109602;ENSG00000041982;ENSG00000041982;TNC;HXB;HXB|TN-C|TNC|GP|TN|3371|DFNA56|150-225|GMEM|JI;3371;"Cluster;Outlier"
ENSG00000129946;117302;ENSG00000129946;ENSG00000129946;SHC2;SLI;25759|SLI|SHC2|SHCB|SCK;25759;"Cluster;Outlier"
ENSG00000117222;111864;ENSG00000117222;ENSG00000117222;RBBP5;RBQ3;5929|RBQ3|RBBP5|SWD1;5929;"Cluster;Outlier"
ENSG00000114423;107316;ENSG00000114423;ENSG00000114423;CBLB;Nbla00127;Nbla00127|RNF56|868|CBLB|Cbl-b;868;"Cluster;Outlier"
