Matching.Attribute;Ensembl;Ensembl-mapping-by-Label-as-HGNC;Ensembl-mapping-by-name-as-entrez;cl1.Status;entrez gene/locuslink;biogrid;Label;ncbi_gene_id;name;shared name
[ENSG00000141552];ENSG00000141552;;ENSG00000141552;"Cluster;Outlier";[51529, APC11, HSPC214, ANAPC11, Apc11p];[119591];ANAPC11;51529;ENSP00000349957;ENSP00000349957
[ENSG00000134853];ENSG00000134853;;ENSG00000134853;"Cluster;Overlap";[PDGFR2, RHEPDGFRA, PDGFRA, PDGFR-2, 5156, CD140A];[111182];PDGFR2;5156;5156;5156
[ENSG00000145431];ENSG00000145431;;ENSG00000145431;"Cluster;Outlier";[UNQ174/PRO200, SCDGF, 56034, PDGFC, FALLOTEIN];[121032];PDGFC;56034;ENSP00000422464;ENSP00000422464
[ENSG00000135046];ENSG00000135046;;ENSG00000135046;"Cluster;Outlier";[LPC1, ANXA1, 301, RP11-71A24.1, ANX1];[106798];ANXA1;301;ENSP00000257497;ENSP00000257497
[ENSG00000163191];ENSG00000163191;;ENSG00000163191;"Cluster;Outlier";[HEL-S-43, MLN70, S100C, S100A11, 6282];[112190];S100A11;6282;ENSP00000271638;ENSP00000271638
[ENSG00000136504];ENSG00000136504;;ENSG00000136504;"Cluster;Outlier";[MYST2, 11143, KAT7, HBO1, HBOA, ZC2HC7];[116315];KAT7;11143;ENSP00000259021;ENSP00000259021
[ENSG00000136573];ENSG00000136573;ENSG00000136573;ENSG00000136573;Outlier;[BLK, 640, MODY11];[107109];BLK;640;ENSP00000259089;"640;ENSP00000259089"
[ENSG00000137801];ENSG00000137801;;ENSG00000137801;"Cluster;Outlier";[TSP, 7057, THBS, TSP-1, THBS-1, TSP1, THBS1];[112915];TSP;7057;7057;7057
[ENSG00000138095];ENSG00000138095;;ENSG00000138095;Outlier;[10128, CLONE-23970, LSFC, GP130, LRP130, LRPPRC];[115432];CLONE-23970;10128;10128;"10128;ENSP00000260665"
[ENSG00000138376];ENSG00000138376;ENSG00000138376;ENSG00000138376;"Cluster;Outlier";[BARD1, 580];[107056];BARD1;580;580;580
[ENSG00000020426];ENSG00000020426;;ENSG00000020426;Outlier;[MAT1, RNF66, TFB3, 4331, CAP35, MNAT1];[110474];MAT1;4331;4331;"4331;ENSP00000261245"
[ENSG00000126838];ENSG00000126838;;ENSG00000126838;Outlier;[CPAMD6, PZP, 5858];[111796];CPAMD6;5858;5858;"5858;ENSP00000261336"
[ENSG00000082512];ENSG00000082512;;ENSG00000082512;Outlier;[RP11-318L16.2, 7188, MGC:39780, TRAF5, RNF84];[113040];TRAF5;7188;ENSP00000261464;"7188;ENSP00000261464"
[ENSG00000111328];ENSG00000111328;;ENSG00000111328;Outlier;[p12DOC-1, 8099, DORC1, CDK2AP1, DOC1, doc-1, ST19];[113770];CDK2AP1;8099;ENSP00000261692;"8099;ENSP00000261692"
[ENSG00000108671];ENSG00000108671;;ENSG00000108671;Outlier;[5717, Rpn6, PSMD11, p44.5, S9];[111689];PSMD11;5717;ENSP00000261712;"5717;ENSP00000261712"
[ENSG00000113721];ENSG00000113721;ENSG00000113721;ENSG00000113721;Cluster;[PDGFRB, PDGFR1, PDGFR-1, 5159, JTK12, PDGFR, IBGC4, IMF1, CD140B];[111185];PDGFRB;5159;ENSP00000261799;"5159;ENSP00000261799"
[ENSG00000170962];ENSG00000170962;;ENSG00000170962;Outlier;[80310, SCDGF-B, PDGFD, MSTP036, IEGF, SCDGFB];[123223];PDGFD;80310;ENSP00000376865;"80310;ENSP00000376865"
[ENSG00000104738];ENSG00000104738;;ENSG00000104738;Outlier;[4173, CDC21, CDC54, NKGCD, MCM4, NKCD, P1-CDC21, hCdc21];[110341];MCM4;4173;ENSP00000262105;"4173;ENSP00000262105"
[ENSG00000164292];ENSG00000164292;ENSG00000164292;ENSG00000164292;"Outlier;Overlap";[22836, RHOBTB3];[116510];RHOBTB3;22836;22836;22836
[ENSG00000109670];ENSG00000109670;;ENSG00000109670;"Outlier;Overlap";[FBX30, FBXW6, SEL-10, hCdc4, FBXW7, AGO, SEL10, CDC4, 55294, FBXO30, hAgo, FBW6, FBW7];[120581];FBX30;55294;55294;55294
[ENSG00000101868];ENSG00000101868;ENSG00000101868;ENSG00000101868;Outlier;[POLA1, POLA, NSX, 5422, p180];[111418];POLA1;5422;ENSP00000368349;"5422;ENSP00000368349"
[ENSG00000149308];ENSG00000149308;ENSG00000149308;ENSG00000149308;"Outlier;Overlap";[NPAT, p220, E14/NPAT, 4863, E14];[110924];NPAT;4863;ENSP00000278612;ENSP00000278612
[ENSG00000162924];ENSG00000162924;ENSG00000162924;ENSG00000162924;Outlier;[REL, C-Rel, 5966];[111898];REL;5966;5966;"5966;ENSP00000295025"
[ENSG00000167513];ENSG00000167513;;ENSG00000167513;"Cluster;Outlier";[RIS2, CDT1, 81620, DUP];[123555];RIS2;81620;81620;81620
[ENSG00000184357];ENSG00000184357;;ENSG00000184357;Outlier;[3009, H1.5, H1B, H1, H1F5, HIST1H1B, H1s-3];[109264];H1.5;3009;3009;"3009;ENSP00000330074"
[ENSG00000117461];ENSG00000117461;;ENSG00000117461;Outlier;[p55-GAMMA, p55, PIK3R3, 8503, RP4-533D7.2];[114075];p55-GAMMA;8503;8503;"8503;ENSP00000262741"
[ENSG00000109458];ENSG00000109458;ENSG00000109458;ENSG00000109458;Outlier;[GAB1, 2549];[108824];GAB1;2549;ENSP00000262995;"2549;ENSP00000262995"
[ENSG00000129219];ENSG00000129219;ENSG00000129219;ENSG00000129219;Outlier;[5338, PLD2];[111354];PLD2;5338;ENSP00000263088;"5338;ENSP00000263088"
[ENSG00000042753];ENSG00000042753;;ENSG00000042753;Outlier;[FBHOk, HHC3, CLAPS2, FBH3, AP2S1, 1175, AP17];[107589];FBHOk;1175;1175;"1175;ENSP00000263270"
[ENSG00000242689];ENSG00000242689;ENSG00000242689;ENSG00000242689;Outlier;[CNTF, HCNTF, 1270];[107670];CNTF;1270;ENSP00000355370;"1270;ENSP00000355370"
[ENSG00000115145];ENSG00000115145;;ENSG00000115145;Outlier;[Hbp, 10254, STAM2A, STAM2, STAM2B];[115548];Hbp;10254;10254;"10254;ENSP00000263904"
[ENSG00000128052];ENSG00000128052;;ENSG00000128052;Outlier;[VEGFR2, 3791, CD309, KDR, VEGFR, FLK1];[109992];VEGFR2;3791;3791;"3791;ENSP00000263923"
[ENSG00000110395];ENSG00000110395;;ENSG00000110395;Outlier;[NSLL, RNF55, C-CBL, FRA11B, 867, CBL2, CBL];[107315];NSLL;867;867;"867;ENSP00000264033"
[ENSG00000063660];ENSG00000063660;ENSG00000063660;ENSG00000063660;Outlier;[GPC1, 2817, glypican];[109079];GPC1;2817;ENSP00000264039;"2817;ENSP00000264039"
[ENSG00000114423];ENSG00000114423;;ENSG00000114423;Outlier;[Nbla00127, RNF56, 868, CBLB, Cbl-b];[107316];Nbla00127;868;868;"868;ENSP00000264122"
[ENSG00000076003];ENSG00000076003;;ENSG00000076003;"Cluster;Outlier";[4175, MCG40308, Mis5, MCM6, P105MCM];[110343];MCM6;4175;ENSP00000264156;ENSP00000264156
[ENSG00000121594];ENSG00000121594;;ENSG00000121594;Outlier;[BB1, B7, 941, CD80, B7.1, B7-1, CD28LG, CD28LG1, LAB7];[107379];CD80;941;ENSP00000264246;"941;ENSP00000264246"
[ENSG00000114013];ENSG00000114013;ENSG00000114013;ENSG00000114013;Outlier;[CD86, B7-2, LAB72, CD28LG2, 942, B7.2, B70];[107380];CD86;942;ENSP00000332049;"942;ENSP00000332049"
[ENSG00000117222];ENSG00000117222;;ENSG00000117222;"Cluster;Outlier";[5929, RBQ3, RBBP5, SWD1];[111864];RBBP5;5929;ENSP00000264515;ENSP00000264515
[ENSG00000129946];ENSG00000129946;;ENSG00000129946;Outlier;[25759, SLI, SHC2, SHCB, SCK];[117302];SHC2;25759;ENSP00000264554;"25759;ENSP00000264554"
[ENSG00000108344];ENSG00000108344;;ENSG00000108344;Outlier;[S3, TSTA2, P58, 5709, RPN3, PSMD3];[111682];S3;5709;5709;"5709;ENSP00000264639"
[ENSG00000041982];ENSG00000041982;;ENSG00000041982;Outlier;[HXB, TN-C, TNC, GP, TN, 3371, DFNA56, 150-225, GMEM, JI];[109602];HXB;3371;3371;"3371;ENSP00000265131"
[ENSG00000138798];ENSG00000138798;ENSG00000138798;ENSG00000138798;Outlier;[1950, EGF, HOMG4, URG];[108270];EGF;1950;ENSP00000265171;"1950;ENSP00000265171"
[ENSG00000099250];ENSG00000099250;ENSG00000099250;ENSG00000099250;"Cluster;Outlier";[NRP1, BDCA4, CD304, RP11-342D11.1, VEGF165R, 8829, NRP, NP1];[114356];NRP1;8829;8829;8829
[ENSG00000173511];ENSG00000173511;;ENSG00000173511;"Cluster;Overlap";[VEGFL, 7423, VEGFB, VRF];[113266];VEGFL;7423;7423;7423
[ENSG00000119630];ENSG00000119630;;ENSG00000119630;"Cluster;Outlier";[SHGC-10760, PlGF-2, PGFL, D12S1900, 5228, PGF, PLGF];[111249];SHGC-10760;5228;5228;5228
[ENSG00000083168];ENSG00000083168;;ENSG00000083168;"Cluster;Outlier";[MYST3, ZNF220, 7994, KAT6A, RUNXBP2, ZC2HC6A, MOZ];[113703];MYST3;7994;7994;7994
[ENSG00000006634];ENSG00000006634;ENSG00000006634;ENSG00000006634;"Cluster;Outlier";[DBF4, 10926, ZDBF1, DBF4A, ASK, CHIF];[116129];DBF4;10926;10926;10926
[ENSG00000080503];ENSG00000080503;;ENSG00000080503;"Cluster;Outlier";[SNF2L2, SNF2, SNF2LA, Sth1p, 6595, NCBRS, BAF190, hBRM, SWI2, BRM, hSNF2a, SMARCA2];[112479];SNF2L2;6595;6595;6595
[ENSG00000153879];ENSG00000153879;ENSG00000153879;ENSG00000153879;Outlier;[CEBPG, 1054, IG/EBP-1, GPE1BP];[107483];CEBPG;1054;ENSP00000284000;"1054;ENSP00000284000"
[ENSG00000139618];ENSG00000139618;;ENSG00000139618;"Cluster;Outlier";[FAD, FAD1, BRCC2, GLM3, BRCA2, FANCD, 675, FANCD1, BROVCA2, XRCC11, RP11-298P3.4, FACD, PNCA2];[107142];FAD;675;675;675
[ENSG00000138764];ENSG00000138764;ENSG00000138764;ENSG00000138764;Outlier;[CCNG2, 901];[107341];CCNG2;901;ENSP00000315743;"901;ENSP00000315743"
[ENSG00000093009];ENSG00000093009;;ENSG00000093009;Outlier;[UNQ374/PRO710, CDC45, 8318, PORC-PI-1, CDC45L2, CDC45L];[113915];UNQ374/PRO710;8318;8318;"8318;ENSP00000405726"
[ENSG00000087191];ENSG00000087191;;ENSG00000087191;Outlier;[SUG-1, p45, p45/SUG, PSMC5, S8, TRIP1, SUG1, 5705, TBP10];[111678];SUG-1;5705;5705;"5705;ENSP00000310572"
[ENSG00000245848];ENSG00000245848;ENSG00000245848;ENSG00000245848;Outlier;[CEBPA, C/EBP-alpha, 1050, CEBP];[107479];CEBPA;1050;1050;"1050;ENSP00000427514"
[ENSG00000175166];ENSG00000175166;;ENSG00000175166;Outlier;[TRAP2, 5708, PSMD2, RPN1, P97, S2];[111681];TRAP2;5708;5708;"5708;ENSP00000310129"
[ENSG00000176749];ENSG00000176749;;ENSG00000176749;Outlier;[p23, CDK5P35, p25, p35, 8851, CDK5R, NCK5A, p35nck5a, CDK5R1];[114376];p23;8851;8851;"8851;ENSP00000318486"
[ENSG00000147854];ENSG00000147854;;ENSG00000147854;"Outlier;Overlap";[RP11-472F14.2, UHRF2, RNF107, 115426, NIRF, URF2];[125434];UHRF2;115426;ENSP00000276893;ENSP00000276893
[ENSG00000107949];ENSG00000107949;;ENSG00000107949;Outlier;[TOK-1, TOK1, BCCIP, 56647];[121161];BCCIP;56647;ENSP00000357748;"56647;ENSP00000357748"
[ENSG00000110801];ENSG00000110801;ENSG00000110801;ENSG00000110801;Outlier;[PSMD9, Rpn4, p27, 5715];[111687];PSMD9;5715;ENSP00000440485;"5715;ENSP00000440485"
[ENSG00000173692];ENSG00000173692;;ENSG00000173692;Outlier;[5707, Rpn2, P112, PSMD1, S1];[111680];PSMD1;5707;ENSP00000309474;"5707;ENSP00000309474"
[ENSG00000142507];ENSG00000142507;ENSG00000142507;ENSG00000142507;Outlier;[PSMB6, 5694, DELTA, LMPY, Y];[111667];PSMB6;5694;ENSP00000270586;"5694;ENSP00000270586"
[ENSG00000141510];ENSG00000141510;;ENSG00000141510;"Cluster;Outlier";[7157, TRP53, BCC7, LFS1, TP53, P53];[113010];TP53;7157;ENSP00000269305;ENSP00000269305
[ENSG00000089685];ENSG00000089685;;ENSG00000089685;Outlier;[332, API4, BIRC5, EPR-1];[106829];API4;332;332;"332;ENSP00000301633"
[ENSG00000165556];ENSG00000165556;;ENSG00000165556;Outlier;[CDX3, CDX2, 1045, CDX2/AS, CDX-3];[107475];CDX3;1045;1045;"1045;ENSP00000370408"
[ENSG00000181163];ENSG00000181163;ENSG00000181163;ENSG00000181163;Outlier;[NPM1, B23, NPM, 4869];[110929];NPM1;4869;4869;"4869;ENSP00000296930"
[ENSG00000143106];ENSG00000143106;ENSG00000143106;ENSG00000143106;Outlier;[PSMA5, PSC5, ZETA, 5686];[111659];PSMA5;5686;5686;"5686;ENSP00000271308"
[ENSG00000188486];ENSG00000188486;;ENSG00000188486;Outlier;[H2AX, 3014, H2AFX, H2A/X, H2A.X];[109268];H2AFX;3014;ENSP00000364310;"3014;ENSP00000364310"
[ENSG00000113328];ENSG00000113328;;ENSG00000113328;"Cluster;Outlier";[CCNG, CCNG1, 900];[107340];CCNG1;900;ENSP00000344635;ENSP00000344635
[ENSG00000106462];ENSG00000106462;;ENSG00000106462;Outlier;[ENX-1, ENX1, EZH2b, WVS, 2146, WVS2, KMT6, KMT6A, EZH1, EZH2];[108446];EZH2;2146;ENSP00000320147;"2146;ENSP00000320147"
[ENSG00000168148];ENSG00000168148;;ENSG00000168148;"Cluster;Outlier";[H3.4, H3/g, HIST3H3, H3FT, H3t, 8290];[113895];HIST3H3;8290;ENSP00000355657;ENSP00000355657
[ENSG00000175054];ENSG00000175054;;ENSG00000175054;Outlier;[SCKL1, MEC1, 545, SCKL, FRP1, FCTCS, ATR];[107027];ATR;545;ENSP00000343741;"545;ENSP00000343741"
[ENSG00000032219];ENSG00000032219;;ENSG00000032219;Outlier;[5926, RBBP1, RBP-1, RBP1, ARID4A, RBBP-1];[111861];ARID4A;5926;ENSP00000347602;"5926;ENSP00000347602"
[ENSG00000001167];ENSG00000001167;;ENSG00000001167;Outlier;[CBF-B, NFYA, CBF-A, NF-YA, HAP2, 4800];[110866];CBF-B;4800;4800;"4800;ENSP00000345702"
[ENSG00000198901];ENSG00000198901;;ENSG00000198901;Outlier;[ASE1, PRC1, 9055];[114517];PRC1;9055;ENSP00000377793;"9055;ENSP00000377793"
[ENSG00000100519];ENSG00000100519;;ENSG00000100519;Outlier;[5706, P44, CADP44, PSMC6, HEL-S-73, SUG2, p42];[111679];PSMC6;5706;ENSP00000401802;"5706;ENSP00000401802"
[ENSG00000162063];ENSG00000162063;;ENSG00000162063;"Cluster;Outlier";[FBX1, CCNF, FBXO1, 899];[107339];FBX1;899;899;899
[ENSG00000197299];ENSG00000197299;;ENSG00000197299;Outlier;[BS, RECQL3, BLM, RECQ2, 641, RECQL2];[107110];BLM;641;ENSP00000347232;"641;ENSP00000347232"
[ENSG00000100526];ENSG00000100526;;ENSG00000100526;Outlier;[KAP1, CDI1, CIP2, 1033, KAP, CDKN3];[107467];CDKN3;1033;ENSP00000335357;"1033;ENSP00000335357"
[ENSG00000189060];ENSG00000189060;ENSG00000189060;ENSG00000189060;Outlier;[H1F0, 3005, H10, H1FV];[109260];H1F0;3005;ENSP00000344504;"3005;ENSP00000344504"
[ENSG00000065361];ENSG00000065361;;ENSG00000065361;Outlier;[ErbB-3, p180-ErbB3, LCCS2, c-erbB-3, 2065, c-erbB3, MDA-BF-1, erbB3-S, p45-sErbB3, ERBB3, p85-sErbB3, HER3];[108377];ERBB3;2065;ENSP00000267101;"2065;ENSP00000267101"
[ENSG00000140575];ENSG00000140575;;ENSG00000140575;"Cluster;Outlier";[HUMORFA01, IQGAP1, SAR1, 8826, p195];[114353];HUMORFA01;8826;8826;8826
[ENSG00000173801];ENSG00000173801;;ENSG00000173801;Outlier;[CTNNG, 3728, PKGB, JUP, ARVD12, DP3, PDGB, DPIII];[109931];CTNNG;3728;3728;"3728;ENSP00000311113"
[ENSG00000160691];ENSG00000160691;ENSG00000160691;ENSG00000160691;Outlier;[6464, SHC1, SHCA, RP11-307C12.1, SHC];[112361];SHC1;6464;6464;"6464;ENSP00000401303"
[ENSG00000197943];ENSG00000197943;;ENSG00000197943;Outlier;[PLC-IV, RP11-510J16.3, PLCG2, PLC-gamma-2, 5336, APLAID, FCAS3];[111352];PLCG2;5336;ENSP00000352336;"5336;ENSP00000352336"
[ENSG00000115904];ENSG00000115904;;ENSG00000115904;Outlier;[GINGF, GF1, 6654, HGF, GGF1, SOS1, NS4];[112537];GINGF;6654;6654;"6654;ENSP00000384675"
[ENSG00000080824];ENSG00000080824;;ENSG00000080824;Outlier;[HSP90N, HSPCAL1, HSP90AA1, HSPCAL4, EL52, HSP89A, HSPN, 3320, Hsp89, LAP-2, HSPC1, Hsp90, LAP2, HSP90A, HSP86, HSPCA];[109552];HSP90N;3320;3320;"3320;ENSP00000335153"
[ENSG00000155366];ENSG00000155366;;ENSG00000155366;Outlier;[H9, ARHC, 389, RP11-426L16.4, RHOC, ARH9, RHOH9];[106882];H9;389;389;"389;ENSP00000285735"
[ENSG00000169032];ENSG00000169032;;ENSG00000169032;"Cluster;Outlier";[MKK1, PRKMK1, MAP2K1, MEK1, MAPKK1, CFC3, 5604];[111590];MKK1;5604;5604;5604
[ENSG00000148082];ENSG00000148082;ENSG00000148082;ENSG00000148082;Outlier;[SHC3, SHCC, NSHC, 53358, RAI, RP11-82L18.3, N-Shc];[119752];SHC3;53358;ENSP00000364995;"53358;ENSP00000364995"
[ENSG00000166266];ENSG00000166266;ENSG00000166266;ENSG00000166266;Outlier;[CUL5, VACM1, 8065, VACM-1];[113743];CUL5;8065;ENSP00000376808;"8065;ENSP00000376808"
[ENSG00000026508];ENSG00000026508;;ENSG00000026508;Outlier;[HUTCH-I, IN, CDW44, CSPG8, MIC4, ECMR-III, MDU2, MDU3, 960, MC56, AL133330.1, LHR, HCELL, Pgp1, CD44];[107398];CD44;960;ENSP00000398632;"960;ENSP00000398632"
[ENSG00000144749];ENSG00000144749;ENSG00000105486;ENSG00000144749;Outlier;[LIG1, LRIG1, 26018, LIG-1];[117489];LRIG1;26018;ENSP00000273261;"26018;ENSP00000273261"
[ENSG00000196396];ENSG00000196396;ENSG00000196396;ENSG00000196396;Outlier;[PTPN1, 5770, PTP1B];[111736];PTPN1;5770;5770;"5770;ENSP00000360683"
[ENSG00000115415];ENSG00000115415;ENSG00000115415;ENSG00000115415;Outlier;[6772, STAT1, CANDF7, IMD31B, IMD31C, ISGF-3, STAT91, IMD31A];[112649];STAT1;6772;6772;"6772;ENSP00000354394"
[ENSG00000100351];ENSG00000100351;;ENSG00000100351;Outlier;[GrbX, GRPL, 9402, GRID, GADS, Grf40, RP3-370M22.1, Mona, P38, GRAP-2, GRAP2, GRBLG, GRB2L];[114799];GRAP2;9402;ENSP00000339186;"9402;ENSP00000339186"
[ENSG00000185634];ENSG00000185634;ENSG00000185634;ENSG00000185634;Outlier;[SHC4, SHCD, RaLP, UNQ6438/PRO21364, 399694];[134386];SHC4;399694;ENSP00000329668;"399694;ENSP00000329668"
[ENSG00000112851];ENSG00000112851;;ENSG00000112851;Outlier;[ERBB2IP, LAP2, ERBIN, HEL-S-78, 55914];[120997];ERBIN;55914;ENSP00000370330;"55914;ENSP00000370330"
[ENSG00000170606];ENSG00000170606;;ENSG00000170606;Outlier;[hsp70, HSPH2, APG-2, HS24/P52, HSPA4, HEL-S-5a, RY, hsp70RY, 3308];[109540];HSPA4;3308;ENSP00000302961;"3308;ENSP00000302961"
[ENSG00000105974];ENSG00000105974;;ENSG00000105974;Outlier;[BSCL3, VIP21, CGL3, CAV1, 857, MSTP085, PPH3, LCCNS];[107305];BSCL3;857;857;"857;ENSP00000339191"
[ENSG00000179295];ENSG00000179295;;ENSG00000179295;Outlier;[CFC, SHP2, 5781, PTP2C, PTPN11, PTP-1D, NS1, BPTP3, SH-PTP3, SH-PTP2];[111745];CFC;5781;5781;"5781;ENSP00000340944"
[ENSG00000186575];ENSG00000186575;;ENSG00000186575;Outlier;[4771, BANF, SCH, NF2, ACN];[110844];NF2;4771;ENSP00000344666;"4771;ENSP00000344666"
[ENSG00000163235];ENSG00000163235;ENSG00000163235;ENSG00000163235;Outlier;[7039, TGFA, TFGA];[112897];TGFA;7039;ENSP00000295400;"7039;ENSP00000295400"
[ENSG00000157168];ENSG00000157168;;ENSG00000157168;Outlier;[NRG1-IT2, HRGA, GGF, NRG1, MSTP131, HGL, GGF2, 3084, NDF, HRG1, ARIA, SMDF, HRG, MST131];[109332];NRG1;3084;ENSP00000349275;"3084;ENSP00000349275"
