Network Analyst;;;;;;Cytoscape;;;;
ClusterOne: 3 clusters;;;;;;Cluster One: 197 clusters;;;;
javax.swing.ImageIcon@6a565e4e;Nodes: 3;;;;;javax.swing.ImageIcon@3e0b1620;Nodes: 1056;;;
;Density: 0,667;;;;;;Density: 0,003;;;
;Quality: 0,667;;;;;;Quality: 0,832;;;
;P-value: 0,079;;;;;;P-value: 0,000;;;
javax.swing.ImageIcon@74d6098a;Nodes: 3;;;;;javax.swing.ImageIcon@57f1ee83;Nodes: 44;;;
;Density: 0,667;;;;;;Density: 0,073;;;
;Quality: 0,400;;;;;;Quality: 0,726;;;
;P-value: 0,252;;;;;;P-value: 0,000;;;
javax.swing.ImageIcon@756da057;Nodes: 4;;;;;javax.swing.ImageIcon@52eebc9d;Nodes: 15;;;
;Density: 0,667;;;;;;Density: 0,581;;;
;Quality: 0,286;;;;;;Quality: 0,455;;;
;P-value: 0,918;;;;;;P-value: 8,949E-5;;;
;;;;;;javax.swing.ImageIcon@3836a077;Nodes: 15;;;
;;;;;;;Density: 0,381;;;
;;;;;;;Quality: 0,656;;;
;;;;;;;P-value: 3,081E-4;;;
;;;;;;javax.swing.ImageIcon@5eea1b47;Nodes: 19;;;
;;;;;;;Density: 0,251;;;
;;;;;;;Quality: 0,589;;;
;;;;;;;P-value: 4,179E-4;;;
;;;;;;javax.swing.ImageIcon@63773ef;Nodes: 13;;;
;;;;;;;Density: 0,603;;;
;;;;;;;Quality: 0,356;;;
;;;;;;;P-value: 0,002;;;
;;;;;;javax.swing.ImageIcon@219a3de0;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,245;;;
;;;;;;;P-value: 0,011;;;
;;;;;;javax.swing.ImageIcon@2ca214bc;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,245;;;
;;;;;;;P-value: 0,011;;;
;;;;;;javax.swing.ImageIcon@221c024c;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,245;;;
;;;;;;;P-value: 0,011;;;
;;;;;;javax.swing.ImageIcon@1f89b5eb;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,245;;;
;;;;;;;P-value: 0,011;;;
;;;;;;javax.swing.ImageIcon@6f0ceec7;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,245;;;
;;;;;;;P-value: 0,011;;;
;;;;;;javax.swing.ImageIcon@5337106e;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,245;;;
;;;;;;;P-value: 0,011;;;
;;;;;;javax.swing.ImageIcon@117b7626;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,245;;;
;;;;;;;P-value: 0,011;;;
;;;;;;javax.swing.ImageIcon@438fbf0f;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,245;;;
;;;;;;;P-value: 0,011;;;
;;;;;;javax.swing.ImageIcon@4bfd0b6f;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,245;;;
;;;;;;;P-value: 0,011;;;
;;;;;;javax.swing.ImageIcon@20a2c61e;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,245;;;
;;;;;;;P-value: 0,011;;;
;;;;;;javax.swing.ImageIcon@6aa24e6a;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,245;;;
;;;;;;;P-value: 0,011;;;
;;;;;;javax.swing.ImageIcon@546be3f6;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,241;;;
;;;;;;;P-value: 0,014;;;
;;;;;;javax.swing.ImageIcon@77ee3c67;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,241;;;
;;;;;;;P-value: 0,014;;;
;;;;;;javax.swing.ImageIcon@414a96b2;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,241;;;
;;;;;;;P-value: 0,014;;;
;;;;;;javax.swing.ImageIcon@396351ef;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,241;;;
;;;;;;;P-value: 0,014;;;
;;;;;;javax.swing.ImageIcon@321c6166;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,241;;;
;;;;;;;P-value: 0,014;;;
;;;;;;javax.swing.ImageIcon@34177e46;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,241;;;
;;;;;;;P-value: 0,014;;;
;;;;;;javax.swing.ImageIcon@21fd9170;Nodes: 6;;;
;;;;;;;Density: 0,733;;;
;;;;;;;Quality: 0,733;;;
;;;;;;;P-value: 0,015;;;
;;;;;;javax.swing.ImageIcon@2b24089;Nodes: 9;;;
;;;;;;;Density: 0,694;;;
;;;;;;;Quality: 0,221;;;
;;;;;;;P-value: 0,018;;;
;;;;;;javax.swing.ImageIcon@53f406e8;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@5c1ea79e;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@1125cb7c;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@10377d9;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@7233e257;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@5bb899d8;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@64f9d7f8;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@7edec901;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@1312bdd7;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@c7b8034;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@2617c054;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@2e098356;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@28f37f45;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@78d9204f;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@60d45a60;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@2a5761f;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@311f2859;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@75bd6d;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@42b0e059;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@6b8c639e;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@2399c356;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@eaa9c9d;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@4b5d0739;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@43450d5f;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@2eabe512;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@74bfca2e;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@57787f4f;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@3cbcaf0a;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@4dce4efa;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@472a13d7;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@533c9e7a;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@aa1bfe8;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@352789d8;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@22848000;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@157c1564;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@12a5a6dc;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@1b458419;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@1d4793f1;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@68e57208;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@5749aa8e;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@609b8932;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@416256cb;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@25409dd;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@1853dec3;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@24bd06e2;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@77bac8b0;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@55823d7b;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@532154ce;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@1fe7c25e;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@3eb9765a;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@7a94ed13;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@234a51ab;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@29e82ae;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,214;;;
;;;;;;;P-value: 0,024;;;
;;;;;;javax.swing.ImageIcon@77e03f01;Nodes: 9;;;
;;;;;;;Density: 0,639;;;
;;;;;;;Quality: 0,221;;;
;;;;;;;P-value: 0,025;;;
;;;;;;javax.swing.ImageIcon@2a41a89b;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,212;;;
;;;;;;;P-value: 0,028;;;
;;;;;;javax.swing.ImageIcon@5b777371;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,212;;;
;;;;;;;P-value: 0,028;;;
;;;;;;javax.swing.ImageIcon@2d8a0143;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,212;;;
;;;;;;;P-value: 0,028;;;
;;;;;;javax.swing.ImageIcon@5b642bc4;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,212;;;
;;;;;;;P-value: 0,028;;;
;;;;;;javax.swing.ImageIcon@7cc64543;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,212;;;
;;;;;;;P-value: 0,028;;;
;;;;;;javax.swing.ImageIcon@1cca5d51;Nodes: 18;;;
;;;;;;;Density: 0,314;;;
;;;;;;;Quality: 0,336;;;
;;;;;;;P-value: 0,030;;;
;;;;;;javax.swing.ImageIcon@6137d792;Nodes: 7;;;
;;;;;;;Density: 0,619;;;
;;;;;;;Quality: 0,236;;;
;;;;;;;P-value: 0,031;;;
;;;;;;javax.swing.ImageIcon@1bf7fa7b;Nodes: 8;;;
;;;;;;;Density: 0,607;;;
;;;;;;;Quality: 0,266;;;
;;;;;;;P-value: 0,037;;;
;;;;;;javax.swing.ImageIcon@5555481b;Nodes: 5;;;
;;;;;;;Density: 0,600;;;
;;;;;;;Quality: 0,600;;;
;;;;;;;P-value: 0,041;;;
;;;;;;javax.swing.ImageIcon@1bbbb735;Nodes: 9;;;
;;;;;;;Density: 0,611;;;
;;;;;;;Quality: 0,208;;;
;;;;;;;P-value: 0,049;;;
;;;;;;javax.swing.ImageIcon@446f6897;Nodes: 6;;;
;;;;;;;Density: 0,667;;;
;;;;;;;Quality: 0,455;;;
;;;;;;;P-value: 0,057;;;
;;;;;;javax.swing.ImageIcon@60ef7643;Nodes: 6;;;
;;;;;;;Density: 0,667;;;
;;;;;;;Quality: 0,455;;;
;;;;;;;P-value: 0,057;;;
;;;;;;javax.swing.ImageIcon@1f05ffd5;Nodes: 6;;;
;;;;;;;Density: 0,667;;;
;;;;;;;Quality: 0,455;;;
;;;;;;;P-value: 0,057;;;
;;;;;;javax.swing.ImageIcon@5941f11f;Nodes: 6;;;
;;;;;;;Density: 0,667;;;
;;;;;;;Quality: 0,455;;;
;;;;;;;P-value: 0,057;;;
;;;;;;javax.swing.ImageIcon@66d51170;Nodes: 6;;;
;;;;;;;Density: 0,667;;;
;;;;;;;Quality: 0,455;;;
;;;;;;;P-value: 0,057;;;
;;;;;;javax.swing.ImageIcon@7d932e87;Nodes: 5;;;
;;;;;;;Density: 0,700;;;
;;;;;;;Quality: 0,067;;;
;;;;;;;P-value: 0,063;;;
;;;;;;javax.swing.ImageIcon@4dd88db7;Nodes: 5;;;
;;;;;;;Density: 0,700;;;
;;;;;;;Quality: 0,067;;;
;;;;;;;P-value: 0,063;;;
;;;;;;javax.swing.ImageIcon@1bc7541a;Nodes: 5;;;
;;;;;;;Density: 0,700;;;
;;;;;;;Quality: 0,067;;;
;;;;;;;P-value: 0,063;;;
;;;;;;javax.swing.ImageIcon@55579883;Nodes: 5;;;
;;;;;;;Density: 0,700;;;
;;;;;;;Quality: 0,067;;;
;;;;;;;P-value: 0,063;;;
;;;;;;javax.swing.ImageIcon@315473b8;Nodes: 5;;;
;;;;;;;Density: 0,700;;;
;;;;;;;Quality: 0,067;;;
;;;;;;;P-value: 0,063;;;
;;;;;;javax.swing.ImageIcon@38e8f510;Nodes: 5;;;
;;;;;;;Density: 0,700;;;
;;;;;;;Quality: 0,067;;;
;;;;;;;P-value: 0,063;;;
;;;;;;javax.swing.ImageIcon@19ae1193;Nodes: 5;;;
;;;;;;;Density: 0,700;;;
;;;;;;;Quality: 0,067;;;
;;;;;;;P-value: 0,063;;;
;;;;;;javax.swing.ImageIcon@705401a5;Nodes: 5;;;
